21:27:13.321 [main] INFO  server.Server - Starting Server...
21:27:13.327 [main] INFO  server.Server - Listening for new clients on port 1234
21:27:13.329 [main] INFO  server.Server - Listening for new workers on port 2345
21:27:22.956 [Thread-1] INFO  server.Server - Worker node added
21:27:31.347 [Thread-1] INFO  server.Server - Worker node added
21:27:36.155 [Thread-1] INFO  server.Server - Worker node added
21:27:39.101 [Thread-1] INFO  server.Server - Worker node added
21:28:03.925 [Thread-0] INFO  server.Server - Client#0: Connected
21:28:03.976 [Thread-14] INFO  server.Server - Client#0: Received GPX File
21:28:04.088 [Thread-14] DEBUG server.Server - GPX File ID: Key[gpxFileId=1], Total Distance: 2.7957391950078954, Total Ascent: 8.619999999999997, Total Time: 18.35, Average Speed: 9.141381564058513

